chemical,activity,dosage,reference
(+)-CATECHIN,Antimutagenic,ID50=50-100 nM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(+)-CATECHIN,Antioxidant,not available,"Duke, 1992 *"
(+)-CATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiprostaglandin,IC50=40-943 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,Antiradicular,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Antiulcer,not available,"Duke, 1992 *"
(+)-CATECHIN,Beta-Adrenergic Receptor Blocker,10 uM (weak activity),"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(+)-CATECHIN,cAMP-Phosphodiesterase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(+)-CATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(+)-CATECHIN,COX-1-Inhibitor,IC50=183-279 uM (cf indomethacin IC50=1 uM),"Duke, 1992 *"
(+)-CATECHIN,COX-2-Inhibitor,"IC50=546-5,910 uM (cf indomethacin IC50=1 uM)","Duke, 1992 *"
(+)-CATECHIN,Cyclooxygenase-Inhibitor,not available,"Duke, 1992 *"
(+)-CATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(+)-CATECHIN,Dermatitigenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hemostat,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Hepatoprotective,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(+)-CATECHIN,Immunostimulant,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Neuroprotective,1-10 uM,"Duke, 1992 *"
(+)-CATECHIN,NO-Inhibitor,IC11=250 uM,"Duke, 1992 *"
(+)-CATECHIN,Phagocytotic,not available,"Economic & Medicinal Plant Research, 1: 124."
(+)-CATECHIN,Vasoconstrictor,not available,"Leung, A.Y., Encyclopedia of Common Natural Ingredients Used in Food, Drugs, and Cosmetics, John Wiley & Sons, New York, 1980."
(+)-CATECHIN,Xanthine-Oxidase-Inhibitor,not available,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
(+)-GALLOCATECHIN,ACE-Inhibitor,not available,"Duke, 1992 *"
(+)-GALLOCATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(+)-GALLOCATECHIN,Antinociceptive,not available,"Duke, 1992 *"
(+)-GALLOCATECHIN,Antioxidant,not available,"Duke, 1992 *"
(+)-GALLOCATECHIN,Antithyrotoxic,not available,Wealth of India.
(+)-GALLOCATECHIN,Bactericide,MIC 250 ug/ml,Wealth of India.
(+)-GALLOCATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,5-Lipoxygenase-Inhibitor,IC50=22-50 uM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,IC50=0.216 mM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,0.5 mg/ml rbt (weak activity),"Duke, 1992 *"
(-)-EPICATECHIN,Allelochemic,not available,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp"
(-)-EPICATECHIN,Antiaggregant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antianaphylactic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antidiabetic,30 mg/kg rat,"Duke, 1992 *"
(-)-EPICATECHIN,AntiEBV,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antihepatitic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
(-)-EPICATECHIN,AntiHIV,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antihyperglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antiinflammatory,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antileukemic,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antileukotriene,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antilipoperoxidant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antioxidant,IC50=6.3 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EPICATECHIN,Antiviral,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(-)-EPICATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Choline-Sparing,not available,"Duke, 1992 *"
(-)-EPICATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPICATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Immunostimulant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Insulinogenic,not available,"Economic & Medicinal Plant Research, 6: 170."
(-)-EPICATECHIN,Lipoxygenase-1-Inhibitor,IC50=60 mM,"Duke, 1992 *"
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
(-)-EPICATECHIN,Pancreatogenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Vasodilator,uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPICATECHIN,5-Lipoxygenase-Inhibitor,IC50=22-50 uM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,IC50=0.216 mM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,0.5 mg/ml rbt (weak activity),"Duke, 1992 *"
(-)-EPICATECHIN,Allelochemic,not available,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp"
(-)-EPICATECHIN,Antiaggregant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antianaphylactic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antidiabetic,30 mg/kg rat,"Duke, 1992 *"
(-)-EPICATECHIN,AntiEBV,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antihepatitic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
(-)-EPICATECHIN,AntiHIV,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antihyperglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antiinflammatory,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antileukemic,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antileukotriene,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antilipoperoxidant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antioxidant,IC50=6.3 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EPICATECHIN,Antiviral,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(-)-EPICATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Choline-Sparing,not available,"Duke, 1992 *"
(-)-EPICATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPICATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Immunostimulant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Insulinogenic,not available,"Economic & Medicinal Plant Research, 6: 170."
(-)-EPICATECHIN,Lipoxygenase-1-Inhibitor,IC50=60 mM,"Duke, 1992 *"
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
(-)-EPICATECHIN,Pancreatogenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Vasodilator,uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPICATECHIN,5-Lipoxygenase-Inhibitor,IC50=22-50 uM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,IC50=0.216 mM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,0.5 mg/ml rbt (weak activity),"Duke, 1992 *"
(-)-EPICATECHIN,Allelochemic,not available,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp"
(-)-EPICATECHIN,Antiaggregant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antianaphylactic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antidiabetic,30 mg/kg rat,"Duke, 1992 *"
(-)-EPICATECHIN,AntiEBV,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antihepatitic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
(-)-EPICATECHIN,AntiHIV,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antihyperglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antiinflammatory,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antileukemic,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antileukotriene,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antilipoperoxidant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antimutagenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antioxidant,IC50=6.3 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antiperoxidant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
(-)-EPICATECHIN,Antiviral,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Beta-Adrenergic Receptor Blocker,10 uM,"Zhu, M., Phillipson, J. D., Greengrass, P. M., Bowery, N. E., Cai, Y. 1997. Plant Polyphenols: Biologically Active Compounds or Non-Selective Binders to Protein? Phytochemistry, 44(3): 441-447."
(-)-EPICATECHIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
(-)-EPICATECHIN,Cardiotonic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Choline-Sparing,not available,"Duke, 1992 *"
(-)-EPICATECHIN,COMP-Inhibitor,not available,"Dullo, A. G., et al. 1999. Efficacy of a green tea extract rich in catechin polyphenols and caffeine in increasing 24-h energy expenditure and fat oxidation in humans. Am. J. Clinical Nutrition, 70: 1040-1045."
(-)-EPICATECHIN,Cytotoxic,TC50=>100 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Hypocholesterolemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Hypoglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Immunostimulant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Insulinogenic,not available,"Economic & Medicinal Plant Research, 6: 170."
(-)-EPICATECHIN,Lipoxygenase-1-Inhibitor,IC50=60 mM,"Duke, 1992 *"
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp."
(-)-EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,"Oszmianski, J. and Lee, C.Y. 1990. Inhibitory Effect of Phenolics on Carotene Bleaching in Vegetables. J. Agric. Food Chem. 38: 688-690."
(-)-EPICATECHIN,Pancreatogenic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Pesticide,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Reverse-Transcriptase-Inhibitor,10 ng/ml,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Vasodilator,uM,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
(-)-EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229"
(-)-EPICATECHIN,5-Lipoxygenase-Inhibitor,IC50=22-50 uM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,IC50=0.216 mM/l,"Duke, 1992 *"
(-)-EPICATECHIN,ACE-Inhibitor,0.5 mg/ml rbt (weak activity),"Duke, 1992 *"
(-)-EPICATECHIN,Allelochemic,not available,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp"
(-)-EPICATECHIN,Antiaggregant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antianaphylactic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antibacterial,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antidiabetic,30 mg/kg rat,"Duke, 1992 *"
(-)-EPICATECHIN,AntiEBV,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antihepatitic,not available,"Vlietinck, A.J. and Dommisse, R.A. eds. 1985. Advances in Medicinal Plant Research. Wiss. Verlag. Stuttgart."
(-)-EPICATECHIN,AntiHIV,EC50=2 ug/ml,"Duke, 1992 *"
(-)-EPICATECHIN,Antihyperglycemic,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antiinflammatory,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antileukemic,not available,"Economic & Medicinal Plant Research, 6: 189."
(-)-EPICATECHIN,Antileukotriene,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antilipoperoxidant,not available,"Duke, 1992 *"
(-)-EPICATECHIN,Antimutagenic,not available,"Duke, 1992 *"
